t_obs,u_obs
0.29611194133758545,0.6034587621688843
0.516562283039093,-0.5745492577552795
0.2516707181930542,-0.018219877034425735
0.6885567903518677,0.39077049493789673
0.07397246360778809,0.17487682402133942
0.866521954536438,-0.3653274476528168
0.13657987117767334,-0.7602759003639221
0.10247904062271118,-0.2310149371623993
0.18405646085739136,-0.8194336891174316
0.7264467477798462,0.1806240975856781
0.3152539134025574,0.6543191075325012
0.6871066689491272,0.41281887888908386
0.07563531398773193,0.14861755073070526
0.19663816690444946,-0.7624603509902954
0.31641197204589844,0.7152801156044006
0.4017401337623596,0.21133461594581604
0.1185683012008667,-0.5287612676620483
0.8273953795433044,-0.5459709167480469
0.3820844292640686,0.39564248919487
0.6604938507080078,0.5154422521591187
0.8535717725753784,-0.35593026876449585
0.5931529998779297,0.09858924150466919
0.6367253661155701,0.47380170226097107
0.9826293587684631,0.3866649866104126
0.27449530363082886,0.33480125665664673
0.65837562084198,0.5086498856544495
0.2775419354438782,0.4035773277282715
0.8573248386383057,-0.3601703643798828
0.8993282318115234,-0.13856066763401031
0.03901386260986328,0.767585277557373
0.9268229007720947,0.08577436953783035
0.7387571930885315,0.02545086294412613
0.7178835272789001,0.21731114387512207
0.7058374285697937,0.3307010531425476
0.9156495332717896,0.04345845431089401
0.43398022651672363,-0.23421360552310944
0.07715076208114624,0.1282433569431305
0.3565255403518677,0.6242863535881042
0.14786267280578613,-0.7785403728485107
0.5330533385276794,-0.5460594296455383
